id,category,keywords
109323,Probabilistic_Methods,"['word_3', 'word_78', 'word_103', 'word_130', 'word_136', 'word_251', 'word_263', 'word_467', 'word_475', 'word_541', 'word_549', 'word_592', 'word_761', 'word_894', 'word_1132', 'word_1178', 'word_1210', 'word_1255', 'word_1318', 'word_1340', 'word_1354']"
217139,Case_Based,"['word_26', 'word_32', 'word_235', 'word_608', 'word_628', 'word_634', 'word_674', 'word_856', 'word_921', 'word_974', 'word_980', 'word_1075', 'word_1132', 'word_1210', 'word_1211', 'word_1264', 'word_1302', 'word_1398']"
31353,Neural_Networks,"['word_94', 'word_255', 'word_457', 'word_510', 'word_522', 'word_620', 'word_649', 'word_699', 'word_737', 'word_846', 'word_903', 'word_1152', 'word_1206', 'word_1210', 'word_1274', 'word_1313', 'word_1382', 'word_1390', 'word_1397']"
32083,Neural_Networks,"['word_20', 'word_47', 'word_59', 'word_62', 'word_129', 'word_133', 'word_204', 'word_234', 'word_262', 'word_441', 'word_518', 'word_626', 'word_954', 'word_1171', 'word_1178', 'word_1180', 'word_1203', 'word_1264', 'word_1296', 'word_1332', 'word_1354', 'word_1413', 'word_1415']"
1126029,Reinforcement_Learning,"['word_626', 'word_1254', 'word_1264']"
1118017,Neural_Networks,"['word_20', 'word_133', 'word_415', 'word_740', 'word_775', 'word_811', 'word_897', 'word_1052', 'word_1071', 'word_1076', 'word_1145', 'word_1178', 'word_1210', 'word_1232', 'word_1237', 'word_1256', 'word_1263', 'word_1300']"
49482,Neural_Networks,"['word_89', 'word_275', 'word_306', 'word_458', 'word_626', 'word_730', 'word_740', 'word_811', 'word_899', 'word_1020', 'word_1145', 'word_1194', 'word_1210', 'word_1317', 'word_1369']"
753265,Neural_Networks,"['word_136', 'word_335', 'word_368', 'word_541', 'word_555', 'word_726', 'word_730', 'word_755', 'word_869', 'word_1012', 'word_1072', 'word_1074', 'word_1160', 'word_1179', 'word_1258', 'word_1367', 'word_1382']"
249858,Theory,"['word_90', 'word_325', 'word_337', 'word_443', 'word_475', 'word_484', 'word_511', 'word_541', 'word_616', 'word_698', 'word_699', 'word_730', 'word_958', 'word_1178', 'word_1210', 'word_1212', 'word_1233', 'word_1234', 'word_1260', 'word_1264', 'word_1333', 'word_1428']"
1113739,Reinforcement_Learning,"['word_20', 'word_133', 'word_206', 'word_337', 'word_549', 'word_582', 'word_775', 'word_875', 'word_1004', 'word_1264', 'word_1277', 'word_1308', 'word_1321', 'word_1340', 'word_1353']"
48766,Genetic_Algorithms,"['word_20', 'word_141', 'word_352', 'word_369', 'word_465', 'word_757', 'word_775', 'word_835', 'word_861', 'word_987', 'word_1133', 'word_1152', 'word_1172', 'word_1198', 'word_1208', 'word_1268', 'word_1353']"
646195,Probabilistic_Methods,"['word_127', 'word_401', 'word_541', 'word_683', 'word_723', 'word_946', 'word_1012', 'word_1206', 'word_1248', 'word_1250', 'word_1390']"
1126050,Reinforcement_Learning,"['word_4', 'word_832', 'word_837', 'word_1264']"
59626,Theory,"['word_263', 'word_406', 'word_443', 'word_508', 'word_616', 'word_699', 'word_817', 'word_828', 'word_861', 'word_940', 'word_962', 'word_1023', 'word_1115', 'word_1210', 'word_1212', 'word_1260', 'word_1264', 'word_1329']"
340299,Neural_Networks,"['word_20', 'word_115', 'word_204', 'word_212', 'word_412', 'word_620', 'word_702', 'word_716', 'word_728', 'word_750', 'word_755', 'word_775', 'word_924', 'word_1139', 'word_1149', 'word_1170', 'word_1178', 'word_1210', 'word_1230', 'word_1382', 'word_1390', 'word_1391', 'word_1432']"
354004,Probabilistic_Methods,"['word_65', 'word_152', 'word_179', 'word_325', 'word_399', 'word_648', 'word_1095', 'word_1171', 'word_1194', 'word_1209', 'word_1231', 'word_1232', 'word_1255', 'word_1302', 'word_1306', 'word_1354', 'word_1396']"
242637,Neural_Networks,"['word_20', 'word_53', 'word_508', 'word_668', 'word_724', 'word_756', 'word_775', 'word_866', 'word_877', 'word_1053', 'word_1076', 'word_1210', 'word_1232', 'word_1271', 'word_1346', 'word_1354']"
1106492,Rule_Learning,"['word_82', 'word_169', 'word_204', 'word_222', 'word_229', 'word_246', 'word_402', 'word_508', 'word_780', 'word_815', 'word_923', 'word_964', 'word_1115', 'word_1119', 'word_1178', 'word_1206', 'word_1236', 'word_1259', 'word_1264', 'word_1337', 'word_1350', 'word_1380']"
74975,Case_Based,"['word_5', 'word_174', 'word_350', 'word_412', 'word_415', 'word_476', 'word_660', 'word_671', 'word_729', 'word_751', 'word_820', 'word_996', 'word_1072', 'word_1076', 'word_1144', 'word_1150', 'word_1173', 'word_1231', 'word_1240', 'word_1243', 'word_1291', 'word_1394', 'word_1408']"
1152272,Neural_Networks,"['word_11', 'word_58', 'word_126', 'word_136', 'word_173', 'word_178', 'word_209', 'word_285', 'word_439', 'word_475', 'word_508', 'word_613', 'word_648', 'word_703', 'word_750', 'word_761', 'word_802', 'word_1073', 'word_1110', 'word_1118', 'word_1176', 'word_1178', 'word_1210', 'word_1329', 'word_1331']"
100701,Case_Based,"['word_41', 'word_83', 'word_84', 'word_127', 'word_193', 'word_314', 'word_415', 'word_465', 'word_506', 'word_514', 'word_538', 'word_606', 'word_626', 'word_676', 'word_914', 'word_1150', 'word_1171', 'word_1178', 'word_1291', 'word_1300', 'word_1344', 'word_1398']"
66982,Neural_Networks,"['word_20', 'word_48', 'word_137', 'word_139', 'word_177', 'word_301', 'word_457', 'word_508', 'word_539', 'word_613', 'word_712', 'word_756', 'word_775', 'word_809', 'word_980', 'word_1072', 'word_1210', 'word_1264', 'word_1329', 'word_1358']"
13960,Reinforcement_Learning,"['word_58', 'word_204', 'word_285', 'word_339', 'word_353', 'word_427', 'word_582', 'word_759', 'word_934', 'word_1072', 'word_1171', 'word_1174', 'word_1178', 'word_1195', 'word_1199', 'word_1264', 'word_1296', 'word_1353', 'word_1360', 'word_1388', 'word_1424']"
13966,Reinforcement_Learning,"['word_185', 'word_188', 'word_212', 'word_339', 'word_496', 'word_508', 'word_582', 'word_726', 'word_764', 'word_814', 'word_907', 'word_1076', 'word_1077', 'word_1105', 'word_1143', 'word_1178', 'word_1208', 'word_1264', 'word_1271', 'word_1275', 'word_1296', 'word_1299', 'word_1304', 'word_1344', 'word_1356', 'word_1382']"
66990,Neural_Networks,"['word_6', 'word_20', 'word_131', 'word_137', 'word_208', 'word_352', 'word_421', 'word_452', 'word_576', 'word_648', 'word_694', 'word_712', 'word_725', 'word_775', 'word_784', 'word_894', 'word_1132', 'word_1175', 'word_1209', 'word_1210', 'word_1255', 'word_1302', 'word_1329']"
182093,Reinforcement_Learning,"['word_20', 'word_300', 'word_311', 'word_369', 'word_496', 'word_694', 'word_702', 'word_775', 'word_777', 'word_814', 'word_895', 'word_1076', 'word_1152', 'word_1178', 'word_1200', 'word_1231', 'word_1248', 'word_1250', 'word_1267', 'word_1296', 'word_1366', 'word_1390', 'word_1394', 'word_1424']"
182094,Genetic_Algorithms,"['word_141', 'word_300', 'word_989', 'word_1117', 'word_1356']"
13972,Reinforcement_Learning,"['word_187', 'word_209', 'word_213', 'word_229', 'word_352', 'word_435', 'word_511', 'word_582', 'word_676', 'word_719', 'word_861', 'word_982', 'word_1145', 'word_1195', 'word_1230', 'word_1263', 'word_1264', 'word_1302', 'word_1333', 'word_1354']"
13982,Theory,"['word_53', 'word_100', 'word_133', 'word_239', 'word_322', 'word_455', 'word_508', 'word_870', 'word_927', 'word_1015', 'word_1059', 'word_1132', 'word_1178', 'word_1207', 'word_1210', 'word_1260', 'word_1264', 'word_1329', 'word_1427']"
16819,Probabilistic_Methods,"['word_42', 'word_56', 'word_79', 'word_136', 'word_152', 'word_598', 'word_620', 'word_648', 'word_649', 'word_677', 'word_683', 'word_813', 'word_822', 'word_884', 'word_914', 'word_972', 'word_1292', 'word_1321', 'word_1335', 'word_1382', 'word_1390', 'word_1413', 'word_1415']"
273152,Genetic_Algorithms,"['word_141', 'word_192', 'word_386']"
237521,Neural_Networks,"['word_2', 'word_53', 'word_177', 'word_394', 'word_399', 'word_547', 'word_565', 'word_730', 'word_756', 'word_795', 'word_869', 'word_987', 'word_1055', 'word_1108', 'word_1119', 'word_1145', 'word_1178', 'word_1188', 'word_1233', 'word_1258', 'word_1263', 'word_1264', 'word_1279', 'word_1380']"
1153703,Case_Based,"['word_53', 'word_235', 'word_270', 'word_541', 'word_561', 'word_620', 'word_637', 'word_644', 'word_724', 'word_736', 'word_753', 'word_927', 'word_932', 'word_970', 'word_1073', 'word_1152', 'word_1210', 'word_1212', 'word_1249', 'word_1264', 'word_1302', 'word_1313', 'word_1382', 'word_1387']"
32872,Reinforcement_Learning,"['word_88', 'word_100', 'word_150', 'word_319', 'word_453', 'word_618', 'word_649', 'word_810', 'word_875', 'word_916', 'word_938', 'word_1005', 'word_1072', 'word_1178', 'word_1195', 'word_1207', 'word_1210', 'word_1255', 'word_1286', 'word_1309', 'word_1414']"
284025,Neural_Networks,"['word_20', 'word_39', 'word_49', 'word_176', 'word_749', 'word_775', 'word_1076', 'word_1250']"
218666,Case_Based,"['word_131', 'word_205', 'word_224', 'word_477', 'word_508', 'word_619', 'word_759', 'word_942', 'word_1132', 'word_1178', 'word_1220', 'word_1248', 'word_1267', 'word_1291', 'word_1329', 'word_1333']"
16843,Probabilistic_Methods,"['word_549', 'word_648', 'word_649', 'word_699', 'word_714', 'word_802', 'word_822', 'word_972', 'word_995', 'word_999', 'word_1186', 'word_1239', 'word_1248', 'word_1250', 'word_1346', 'word_1382', 'word_1404', 'word_1425']"
1153724,Case_Based,"['word_285', 'word_293', 'word_485', 'word_587', 'word_764', 'word_831', 'word_912', 'word_970', 'word_1055', 'word_1072', 'word_1076', 'word_1082', 'word_1098', 'word_1109', 'word_1132', 'word_1171', 'word_1172', 'word_1210', 'word_1264', 'word_1398']"
1153728,Case_Based,"['word_1', 'word_3', 'word_79', 'word_229', 'word_231', 'word_322', 'word_625', 'word_651', 'word_715', 'word_751', 'word_820', 'word_850', 'word_1072', 'word_1124', 'word_1132', 'word_1135', 'word_1178', 'word_1204', 'word_1210', 'word_1289', 'word_1291', 'word_1381', 'word_1398']"
158098,Probabilistic_Methods,"['word_403', 'word_423', 'word_470', 'word_476', 'word_524', 'word_611', 'word_649', 'word_662', 'word_699', 'word_725', 'word_805', 'word_809', 'word_822', 'word_987', 'word_1210', 'word_1224', 'word_1237', 'word_1390', 'word_1409', 'word_1424']"
8699,Theory,"['word_245', 'word_250', 'word_471', 'word_508', 'word_716', 'word_719', 'word_861', 'word_970', 'word_1013', 'word_1061', 'word_1076', 'word_1132', 'word_1175', 'word_1177', 'word_1178', 'word_1234', 'word_1235', 'word_1263', 'word_1270', 'word_1349', 'word_1377', 'word_1427']"
1134865,Genetic_Algorithms,"['word_496', 'word_508', 'word_629', 'word_648', 'word_1161', 'word_1355']"
28456,Theory,"['word_508', 'word_611', 'word_764', 'word_781', 'word_795', 'word_820', 'word_1055', 'word_1172', 'word_1196', 'word_1198', 'word_1208', 'word_1216', 'word_1231', 'word_1260', 'word_1262', 'word_1264', 'word_1331', 'word_1332', 'word_1382']"
248425,Genetic_Algorithms,"['word_479', 'word_496', 'word_508', 'word_704', 'word_1236', 'word_1354', 'word_1357']"
1112319,Theory,"['word_258', 'word_263', 'word_495', 'word_505', 'word_508', 'word_541', 'word_598', 'word_648', 'word_726', 'word_727', 'word_731', 'word_940', 'word_1160', 'word_1161', 'word_1229', 'word_1246', 'word_1264', 'word_1267', 'word_1329', 'word_1349', 'word_1353', 'word_1382']"
28471,Reinforcement_Learning,"['word_39', 'word_204', 'word_238', 'word_285', 'word_357', 'word_447', 'word_521', 'word_595', 'word_649', 'word_699', 'word_724', 'word_830', 'word_875', 'word_943', 'word_964', 'word_1061', 'word_1072', 'word_1139', 'word_1178', 'word_1264', 'word_1309', 'word_1331', 'word_1333', 'word_1353', 'word_1360']"
175548,Neural_Networks,"['word_20', 'word_88', 'word_133', 'word_259', 'word_262', 'word_289', 'word_373', 'word_482', 'word_665', 'word_775', 'word_781', 'word_917', 'word_940', 'word_1060', 'word_1122', 'word_1126', 'word_1178', 'word_1199', 'word_1254', 'word_1309', 'word_1329', 'word_1340']"
696345,Neural_Networks,"['word_20', 'word_99', 'word_126', 'word_196', 'word_252', 'word_399', 'word_448', 'word_489', 'word_505', 'word_508', 'word_598', 'word_681', 'word_697', 'word_775', 'word_855', 'word_912', 'word_923', 'word_927', 'word_1012', 'word_1028', 'word_1139', 'word_1172', 'word_1204', 'word_1264']"
28485,Reinforcement_Learning,"['word_20', 'word_39', 'word_169', 'word_188', 'word_293', 'word_405', 'word_508', 'word_522', 'word_589', 'word_667', 'word_702', 'word_832', 'word_874', 'word_875', 'word_1074', 'word_1133', 'word_1203', 'word_1206', 'word_1260', 'word_1263', 'word_1264', 'word_1353']"
35778,Probabilistic_Methods,"['word_20', 'word_58', 'word_59', 'word_132', 'word_192', 'word_362', 'word_397', 'word_403', 'word_508', 'word_515', 'word_589', 'word_648', 'word_665', 'word_1098', 'word_1120', 'word_1173', 'word_1175', 'word_1178', 'word_1180', 'word_1209', 'word_1255', 'word_1394', 'word_1398', 'word_1424']"
28491,Reinforcement_Learning,"['word_35', 'word_241', 'word_296', 'word_429', 'word_442', 'word_582', 'word_605', 'word_670', 'word_691', 'word_1061', 'word_1178', 'word_1199', 'word_1264', 'word_1271', 'word_1293', 'word_1335', 'word_1392', 'word_1423']"
310530,Case_Based,"['word_28', 'word_133', 'word_174', 'word_183', 'word_231', 'word_387', 'word_449', 'word_592', 'word_777', 'word_778', 'word_946', 'word_982', 'word_1038', 'word_1132', 'word_1231', 'word_1240', 'word_1263', 'word_1333', 'word_1340', 'word_1349', 'word_1373', 'word_1386', 'word_1398']"
1153784,Genetic_Algorithms,"['word_58', 'word_256', 'word_676', 'word_1076', 'word_1099', 'word_1101', 'word_1160']"
1481,Case_Based,"['word_5', 'word_45', 'word_79', 'word_154', 'word_188', 'word_299', 'word_330', 'word_338', 'word_429', 'word_472', 'word_645', 'word_751', 'word_788', 'word_964', 'word_1076', 'word_1231', 'word_1264', 'word_1349', 'word_1396']"
1153786,Probabilistic_Methods,"['word_59', 'word_98', 'word_302', 'word_468', 'word_471', 'word_641', 'word_865', 'word_1077', 'word_1082', 'word_1132', 'word_1137', 'word_1178', 'word_1230', 'word_1231', 'word_1235', 'word_1333', 'word_1349', 'word_1398']"
13212,Neural_Networks,"['word_13', 'word_20', 'word_62', 'word_131', 'word_183', 'word_199', 'word_200', 'word_238', 'word_352', 'word_414', 'word_508', 'word_541', 'word_705', 'word_775', 'word_820', 'word_861', 'word_970', 'word_1119', 'word_1167', 'word_1216', 'word_1264', 'word_1329', 'word_1380', 'word_1394']"
1111614,Case_Based,"['word_5', 'word_93', 'word_315', 'word_751', 'word_835', 'word_853', 'word_986', 'word_1076', 'word_1094', 'word_1237', 'word_1269', 'word_1302', 'word_1329', 'word_1333', 'word_1351', 'word_1356', 'word_1427']"
5055,Theory,"['word_50', 'word_55', 'word_60', 'word_467', 'word_561', 'word_674', 'word_755', 'word_765', 'word_828', 'word_843', 'word_848', 'word_916', 'word_970', 'word_1033', 'word_1160', 'word_1178', 'word_1180', 'word_1232', 'word_1291', 'word_1309', 'word_1329', 'word_1332', 'word_1382']"
4329,Probabilistic_Methods,"['word_27', 'word_78', 'word_136', 'word_177', 'word_277', 'word_447', 'word_541', 'word_695', 'word_730', 'word_930', 'word_982', 'word_1110', 'word_1178', 'word_1185', 'word_1210', 'word_1263', 'word_1264', 'word_1331', 'word_1353', 'word_1361', 'word_1385', 'word_1410']"
330148,Neural_Networks,"['word_89', 'word_132', 'word_190', 'word_283', 'word_379', 'word_471', 'word_564', 'word_694', 'word_701', 'word_716', 'word_755', 'word_756', 'word_778', 'word_837', 'word_892', 'word_956', 'word_1076', 'word_1188', 'word_1307']"
1105062,Reinforcement_Learning,"['word_115', 'word_177', 'word_306', 'word_465', 'word_476', 'word_565', 'word_670', 'word_702', 'word_766', 'word_775', 'word_798', 'word_912', 'word_916', 'word_960', 'word_988', 'word_1073', 'word_1076', 'word_1097', 'word_1132', 'word_1188', 'word_1264', 'word_1329']"
4330,Probabilistic_Methods,"['word_78', 'word_239', 'word_282', 'word_447', 'word_472', 'word_508', 'word_667', 'word_694', 'word_695', 'word_699', 'word_752', 'word_778', 'word_1055', 'word_1110', 'word_1210', 'word_1264', 'word_1329', 'word_1361', 'word_1377']"
5062,Case_Based,"['word_41', 'word_759', 'word_1210', 'word_1254', 'word_1300']"
4335,Probabilistic_Methods,"['word_48', 'word_78', 'word_97', 'word_126', 'word_133', 'word_136', 'word_169', 'word_213', 'word_447', 'word_452', 'word_508', 'word_535', 'word_541', 'word_776', 'word_784', 'word_809', 'word_1110', 'word_1128', 'word_1178', 'word_1210', 'word_1302']"
158812,Neural_Networks,"['word_20', 'word_24', 'word_101', 'word_217', 'word_274', 'word_325', 'word_403', 'word_549', 'word_620', 'word_638', 'word_725', 'word_822', 'word_932', 'word_979', 'word_1190', 'word_1303', 'word_1306', 'word_1319', 'word_1387']"
40124,Theory,"['word_20', 'word_131', 'word_173', 'word_178', 'word_470', 'word_511', 'word_549', 'word_699', 'word_854', 'word_861', 'word_968', 'word_972', 'word_1132', 'word_1133', 'word_1171', 'word_1176', 'word_1178', 'word_1209', 'word_1210', 'word_1255', 'word_1340', 'word_1382']"
1103610,Theory,"['word_67', 'word_105', 'word_206', 'word_251', 'word_436', 'word_510', 'word_514', 'word_526', 'word_541', 'word_694', 'word_755', 'word_856', 'word_861', 'word_875', 'word_970', 'word_1039', 'word_1124', 'word_1178', 'word_1263', 'word_1291', 'word_1304', 'word_1385']"
688361,Neural_Networks,"['word_20', 'word_62', 'word_91', 'word_100', 'word_131', 'word_136', 'word_189', 'word_223', 'word_508', 'word_561', 'word_563', 'word_620', 'word_707', 'word_775', 'word_786', 'word_811', 'word_970', 'word_1118', 'word_1368', 'word_1382', 'word_1393', 'word_1427']"
20534,Reinforcement_Learning,"['word_153', 'word_169', 'word_341', 'word_508', 'word_510', 'word_582', 'word_735', 'word_1032', 'word_1059', 'word_1156', 'word_1256', 'word_1264', 'word_1356', 'word_1360', 'word_1382']"
1031453,Neural_Networks,"['word_20', 'word_230', 'word_316', 'word_406', 'word_539', 'word_718', 'word_724', 'word_733', 'word_775', 'word_924', 'word_989', 'word_1004', 'word_1018', 'word_1050', 'word_1178', 'word_1263', 'word_1264']"
5086,Probabilistic_Methods,"['word_130', 'word_239', 'word_337', 'word_416', 'word_525', 'word_699', 'word_807', 'word_894', 'word_999', 'word_1210', 'word_1235', 'word_1248', 'word_1250', 'word_1286', 'word_1329', 'word_1425']"
193742,Reinforcement_Learning,"['word_2', 'word_20', 'word_158', 'word_174', 'word_188', 'word_457', 'word_508', 'word_745', 'word_781', 'word_860', 'word_1199', 'word_1264']"
424,Rule_Learning,"['word_205', 'word_232', 'word_261', 'word_274', 'word_275', 'word_477', 'word_508', 'word_541', 'word_620', 'word_704', 'word_736', 'word_755', 'word_1077', 'word_1281', 'word_1329', 'word_1349', 'word_1353', 'word_1402']"
40151,Theory,"['word_133', 'word_275', 'word_314', 'word_337', 'word_470', 'word_616', 'word_681', 'word_707', 'word_730', 'word_756', 'word_970', 'word_1029', 'word_1072', 'word_1088', 'word_1152', 'word_1171', 'word_1210', 'word_1308', 'word_1354', 'word_1367', 'word_1368', 'word_1380', 'word_1386', 'word_1431']"
636098,Theory,"['word_360', 'word_425', 'word_470', 'word_503', 'word_508', 'word_603', 'word_669', 'word_716', 'word_730', 'word_756', 'word_876', 'word_1076', 'word_1119', 'word_1152', 'word_1211', 'word_1233', 'word_1264', 'word_1302', 'word_1328', 'word_1337']"
260121,Neural_Networks,"['word_20', 'word_137', 'word_421', 'word_457', 'word_481', 'word_508', 'word_569', 'word_593', 'word_712', 'word_756', 'word_775', 'word_913', 'word_945', 'word_1043', 'word_1132', 'word_1175', 'word_1188', 'word_1264', 'word_1329', 'word_1350', 'word_1366']"
950052,Neural_Networks,"['word_1', 'word_19', 'word_41', 'word_133', 'word_235', 'word_538', 'word_563', 'word_567', 'word_593', 'word_606', 'word_676', 'word_698', 'word_749', 'word_1052', 'word_1055', 'word_1072', 'word_1145', 'word_1264']"
434,Reinforcement_Learning,"['word_88', 'word_95', 'word_183', 'word_220', 'word_221', 'word_231', 'word_506', 'word_667', 'word_815', 'word_898', 'word_995', 'word_1055', 'word_1061', 'word_1107', 'word_1150', 'word_1178', 'word_1190', 'word_1260', 'word_1264', 'word_1292', 'word_1305', 'word_1318']"
1131270,Probabilistic_Methods,"['word_173', 'word_498', 'word_725', 'word_972', 'word_1119', 'word_1241', 'word_1309']"
1131274,Probabilistic_Methods,"['word_337', 'word_368', 'word_508', 'word_514', 'word_549', 'word_624', 'word_703', 'word_725', 'word_726', 'word_730', 'word_835', 'word_837', 'word_972', 'word_1062', 'word_1108', 'word_1119', 'word_1154', 'word_1210', 'word_1339', 'word_1342', 'word_1350']"
1131277,Probabilistic_Methods,"['word_89', 'word_565', 'word_862', 'word_1255', 'word_1389']"
1110947,Case_Based,"['word_2', 'word_5', 'word_13', 'word_94', 'word_188', 'word_338', 'word_638', 'word_645', 'word_702', 'word_729', 'word_751', 'word_759', 'word_805', 'word_815', 'word_861', 'word_907', 'word_1073', 'word_1077', 'word_1078', 'word_1171', 'word_1231', 'word_1296', 'word_1300', 'word_1394', 'word_1398']"
662279,Neural_Networks,"['word_9', 'word_53', 'word_126', 'word_136', 'word_225', 'word_262', 'word_451', 'word_534', 'word_912', 'word_994', 'word_1210']"
1139928,Theory,"['word_3', 'word_39', 'word_53', 'word_94', 'word_197', 'word_439', 'word_508', 'word_511', 'word_537', 'word_550', 'word_625', 'word_922', 'word_980', 'word_989', 'word_1056', 'word_1119', 'word_1164', 'word_1178', 'word_1198', 'word_1231', 'word_1264', 'word_1296', 'word_1390']"
153063,Probabilistic_Methods,"['word_17', 'word_24', 'word_293', 'word_395', 'word_408', 'word_620', 'word_626', 'word_724', 'word_750', 'word_827', 'word_869', 'word_894', 'word_1037', 'word_1055', 'word_1072', 'word_1172', 'word_1209', 'word_1210', 'word_1255', 'word_1346', 'word_1350']"
134199,Genetic_Algorithms,"['word_63', 'word_100', 'word_133', 'word_143', 'word_293', 'word_403', 'word_463', 'word_496', 'word_508', 'word_576', 'word_649', 'word_676', 'word_725', 'word_734', 'word_779', 'word_780', 'word_822', 'word_1072', 'word_1098', 'word_1152', 'word_1231', 'word_1332', 'word_1335', 'word_1349', 'word_1423']"
641956,Neural_Networks,"['word_161', 'word_218', 'word_443', 'word_451', 'word_508', 'word_676', 'word_716', 'word_756', 'word_809', 'word_813', 'word_860', 'word_912', 'word_970', 'word_1124', 'word_1139', 'word_1153', 'word_1178', 'word_1260', 'word_1328', 'word_1379', 'word_1390']"
20584,Neural_Networks,"['word_162', 'word_206', 'word_239', 'word_342', 'word_508', 'word_602', 'word_764', 'word_827', 'word_875', 'word_970', 'word_1077', 'word_1138', 'word_1178', 'word_1200', 'word_1248', 'word_1250', 'word_1306']"
1130567,Reinforcement_Learning,"['word_60', 'word_133', 'word_293', 'word_451', 'word_518', 'word_561', 'word_582', 'word_636', 'word_707', 'word_727', 'word_912', 'word_1072', 'word_1076', 'word_1124', 'word_1171', 'word_1210', 'word_1264', 'word_1275', 'word_1353', 'word_1361', 'word_1368', 'word_1382', 'word_1400']"
171225,Neural_Networks,"['word_20', 'word_86', 'word_89', 'word_118', 'word_137', 'word_193', 'word_196', 'word_234', 'word_262', 'word_368', 'word_390', 'word_399', 'word_716', 'word_724', 'word_775', 'word_798', 'word_860', 'word_913', 'word_932', 'word_1061', 'word_1172', 'word_1312', 'word_1366']"
714879,Probabilistic_Methods,"['word_96', 'word_264', 'word_288', 'word_352', 'word_459', 'word_487', 'word_645', 'word_677', 'word_699', 'word_883', 'word_923', 'word_1011', 'word_1080', 'word_1177', 'word_1216', 'word_1244', 'word_1339', 'word_1382', 'word_1396']"
37998,Rule_Learning,"['word_174', 'word_235', 'word_284', 'word_304', 'word_417', 'word_421', 'word_486', 'word_592', 'word_712', 'word_726', 'word_778', 'word_815', 'word_833', 'word_1006', 'word_1074', 'word_1077', 'word_1132', 'word_1133', 'word_1171', 'word_1178', 'word_1229', 'word_1331', 'word_1382']"
50336,Probabilistic_Methods,"['word_20', 'word_78', 'word_182', 'word_289', 'word_371', 'word_467', 'word_475', 'word_572', 'word_620', 'word_765', 'word_939', 'word_940', 'word_961', 'word_1154', 'word_1171', 'word_1232', 'word_1282']"
