id,category,super_category_red,in_degree,out_degree,keyword
1122574,Neural_Networks,AI,0,1,word_20
1110998,Neural_Networks,AI,0,4,word_20
853150,Neural_Networks,AI,0,1,word_20
15431,Theory,Theory,1,0,word_1329
646286,Probabilistic_Methods,Theory,1,5,word_11
1152307,Case_Based,Systems,0,3,word_53
1115291,Probabilistic_Methods,Theory,0,4,word_725
1106547,Reinforcement_Learning,AI,0,3,word_131
68463,Rule_Learning,AI,0,3,word_40
59715,Genetic_Algorithms,Systems,1,3,word_55
69198,Neural_Networks,AI,3,1,word_4
7272,Neural_Networks,AI,4,0,word_20
163235,Neural_Networks,AI,1,0,word_9
7276,Neural_Networks,AI,1,4,word_42
34315,Neural_Networks,AI,2,1,word_20
644843,Probabilistic_Methods,Theory,2,0,word_58
7297,Neural_Networks,AI,3,4,word_73
628815,Reinforcement_Learning,AI,1,2,word_20
35061,Genetic_Algorithms,Systems,12,3,word_20
68495,Theory,Theory,0,3,word_34
1136310,Probabilistic_Methods,Theory,0,1,word_62
18313,Reinforcement_Learning,AI,1,0,word_169
34355,Neural_Networks,AI,1,2,word_20
45212,Neural_Networks,AI,2,2,word_239
1153091,Rule_Learning,AI,0,2,word_206
8703,Rule_Learning,AI,15,4,word_26
126920,Probabilistic_Methods,Theory,3,1,word_34
126927,Probabilistic_Methods,Theory,5,5,word_34
595157,Genetic_Algorithms,Systems,0,2,word_90
140005,Theory,Theory,1,0,word_360
1117476,Genetic_Algorithms,Systems,0,3,word_86
59798,Neural_Networks,AI,8,0,word_177
219446,Neural_Networks,AI,4,1,word_88
44514,Neural_Networks,AI,3,0,word_44
287787,Genetic_Algorithms,Systems,10,2,word_42
157401,Neural_Networks,AI,1,2,word_41
1154500,Case_Based,Systems,0,1,word_26
682666,Reinforcement_Learning,AI,0,5,word_4
399173,Case_Based,Systems,0,1,word_553
198866,Case_Based,Systems,2,0,word_3
51834,Theory,Theory,0,3,word_68
200630,Neural_Networks,AI,1,1,word_620
782486,Neural_Networks,AI,0,3,word_20
1136393,Neural_Networks,AI,0,2,word_16
137849,Probabilistic_Methods,Theory,2,2,word_416
1153811,Rule_Learning,AI,0,4,word_9
24966,Theory,Theory,29,0,word_20
51866,Theory,Theory,4,2,word_40
24974,Neural_Networks,AI,6,0,word_104
137868,Probabilistic_Methods,Theory,6,1,word_45
28542,Reinforcement_Learning,AI,2,0,word_97
35,Genetic_Algorithms,Systems,166,3,word_20
116021,Theory,Theory,1,1,word_40
10430,Case_Based,Systems,2,1,word_5
39403,Reinforcement_Learning,AI,1,4,word_127
40,Genetic_Algorithms,Systems,3,1,word_126
282700,Neural_Networks,AI,1,1,word_133
1105116,Probabilistic_Methods,Theory,0,2,word_20
35854,Theory,Theory,0,2,word_133
63477,Case_Based,Systems,0,3,word_53
124064,Reinforcement_Learning,AI,3,5,word_65
1120431,Neural_Networks,AI,0,4,word_2
949318,Neural_Networks,AI,0,1,word_4
63486,Theory,Theory,3,5,word_42
1153866,Rule_Learning,AI,0,2,word_206
1140040,Neural_Networks,AI,0,3,word_20
1112426,Neural_Networks,AI,0,2,word_99
239800,Theory,Theory,1,4,word_20
1131314,Probabilistic_Methods,Theory,0,2,word_34
1153891,Case_Based,Systems,0,4,word_5
310653,Probabilistic_Methods,Theory,1,3,word_20
1130600,Reinforcement_Learning,AI,0,4,word_197
1111733,Neural_Networks,AI,0,1,word_20
210871,Genetic_Algorithms,Systems,13,5,word_581
210872,Genetic_Algorithms,Systems,6,0,word_20
1132083,Neural_Networks,AI,0,3,word_534
132806,Genetic_Algorithms,Systems,3,2,word_7
12631,Neural_Networks,AI,8,1,word_133
12638,Neural_Networks,AI,7,1,word_40
1107312,Reinforcement_Learning,AI,0,4,word_39
1114605,Neural_Networks,AI,0,2,word_158
68505,Theory,Theory,0,2,word_212
133553,Neural_Networks,AI,2,1,word_89
144408,Neural_Networks,AI,2,3,word_174
23502,Neural_Networks,AI,2,4,word_19
1108050,Neural_Networks,AI,0,3,word_74
23507,Neural_Networks,AI,7,4,word_20
83826,Neural_Networks,AI,1,3,word_89
133563,Neural_Networks,AI,3,3,word_91
85299,Neural_Networks,AI,3,1,word_89
49660,Theory,Theory,2,4,word_71
593060,Genetic_Algorithms,Systems,1,2,word_3
341188,Reinforcement_Learning,AI,2,5,word_4
714975,Probabilistic_Methods,Theory,0,4,word_487
1115375,Neural_Networks,AI,0,3,word_21
95435,Reinforcement_Learning,AI,0,3,word_15
145176,Neural_Networks,AI,3,1,word_27
1113934,Case_Based,Systems,0,5,word_5
22835,Neural_Networks,AI,2,1,word_20
1153148,Probabilistic_Methods,Theory,0,3,word_206
41714,Genetic_Algorithms,Systems,11,2,word_79
1118245,Reinforcement_Learning,AI,0,4,word_66
1152436,Case_Based,Systems,0,1,word_5
1153166,Case_Based,Systems,0,2,word_285
1153169,Rule_Learning,AI,0,2,word_126
38000,Rule_Learning,AI,0,3,word_48
1152448,Case_Based,Systems,0,3,word_53
30895,Theory,Theory,5,5,word_111
5966,Genetic_Algorithms,Systems,8,0,word_26
1136422,Neural_Networks,AI,0,2,word_225
27174,Neural_Networks,AI,4,3,word_20
1128407,Case_Based,Systems,0,3,word_5
1124844,Neural_Networks,AI,0,3,word_156
1153195,Neural_Networks,AI,0,2,word_24
1113995,Neural_Networks,AI,0,2,word_79
1136442,Neural_Networks,AI,0,1,word_98
8821,Case_Based,Systems,2,3,word_15
46079,Genetic_Algorithms,Systems,2,1,word_4
119761,Neural_Networks,AI,2,4,word_39
1111052,Reinforcement_Learning,AI,0,4,word_133
1108841,Neural_Networks,AI,0,1,word_20
1135746,Theory,Theory,0,3,word_64
100935,Genetic_Algorithms,Systems,2,1,word_402
353541,Neural_Networks,AI,0,3,word_39
60682,Case_Based,Systems,1,1,word_94
253762,Probabilistic_Methods,Theory,1,0,word_53
8872,Reinforcement_Learning,AI,8,0,word_20
714260,Probabilistic_Methods,Theory,2,3,word_53
35922,Probabilistic_Methods,Theory,13,4,word_20
2354,Theory,Theory,7,2,word_40
168410,Reinforcement_Learning,AI,0,5,word_112
346292,Neural_Networks,AI,2,2,word_20
1153933,Neural_Networks,AI,0,2,word_20
1119751,Theory,Theory,0,4,word_325
17798,Case_Based,Systems,6,1,word_53
400356,Neural_Networks,AI,2,1,word_20
10531,Neural_Networks,AI,11,1,word_136
1110390,Case_Based,Systems,0,3,word_4
714289,Probabilistic_Methods,Theory,5,4,word_40
733167,Neural_Networks,AI,1,1,word_129
81714,Case_Based,Systems,1,3,word_98
428610,Neural_Networks,AI,0,3,word_65
552469,Theory,Theory,0,2,word_4
164885,Genetic_Algorithms,Systems,1,2,word_19
81722,Case_Based,Systems,0,2,word_42
111866,Theory,Theory,1,4,word_57
194617,Neural_Networks,AI,4,4,word_168
93318,Neural_Networks,AI,1,0,word_352
134307,Probabilistic_Methods,Theory,1,5,word_40
203646,Neural_Networks,AI,1,1,word_22
650814,Genetic_Algorithms,Systems,1,1,word_20
93320,Reinforcement_Learning,AI,0,3,word_875
134315,Probabilistic_Methods,Theory,1,0,word_18
134316,Probabilistic_Methods,Theory,2,5,word_52
976334,Reinforcement_Learning,AI,0,5,word_22
1095507,Probabilistic_Methods,Theory,0,3,word_177
134320,Probabilistic_Methods,Theory,1,0,word_5
662416,Probabilistic_Methods,Theory,1,4,word_172
194645,Reinforcement_Learning,AI,1,1,word_141
161221,Neural_Networks,AI,1,3,word_3
38839,Case_Based,Systems,1,3,word_71
38846,Case_Based,Systems,2,2,word_72
133615,Rule_Learning,AI,3,1,word_40
1112574,Theory,Theory,0,3,word_47
521207,Case_Based,Systems,1,5,word_41
3828,Case_Based,Systems,4,4,word_88
593105,Genetic_Algorithms,Systems,0,4,word_99
390693,Neural_Networks,AI,1,0,word_20
642847,Probabilistic_Methods,Theory,1,1,word_58
1122704,Neural_Networks,AI,0,2,word_132
4584,Reinforcement_Learning,AI,32,0,word_20
7419,Reinforcement_Learning,AI,7,3,word_1133
30901,Theory,Theory,0,5,word_66
1115456,Neural_Networks,AI,0,3,word_115
7432,Reinforcement_Learning,AI,0,2,word_46
573553,Theory,Theory,5,0,word_9
1022969,Case_Based,Systems,0,2,word_41
143801,Neural_Networks,AI,1,2,word_176
417017,Case_Based,Systems,0,4,word_4
396412,Neural_Networks,AI,0,5,word_173
1107455,Reinforcement_Learning,AI,0,4,word_45
91975,Reinforcement_Learning,AI,1,5,word_158
27203,Theory,Theory,3,0,word_97
1152508,Genetic_Algorithms,Systems,0,1,word_57
69392,Neural_Networks,AI,1,3,word_53
1118332,Neural_Networks,AI,0,2,word_13
189577,Probabilistic_Methods,Theory,0,4,word_524
1114777,Case_Based,Systems,0,5,word_5
75969,Rule_Learning,AI,6,1,word_94
1132922,Neural_Networks,AI,0,1,word_40
1153254,Rule_Learning,AI,0,1,word_45
1117618,Theory,Theory,0,3,word_92
6767,Case_Based,Systems,7,2,word_26
27241,Theory,Theory,2,0,word_26
27246,Neural_Networks,AI,1,0,word_20
95589,Reinforcement_Learning,AI,0,5,word_38
6771,Theory,Theory,1,5,word_152
86840,Theory,Theory,0,5,word_82
108962,Probabilistic_Methods,Theory,4,4,word_52
6786,Probabilistic_Methods,Theory,2,0,word_42
108963,Probabilistic_Methods,Theory,2,2,word_5
108974,Probabilistic_Methods,Theory,5,0,word_20
1117653,Neural_Networks,AI,0,2,word_20
1152569,Genetic_Algorithms,Systems,0,1,word_62
1132968,Neural_Networks,AI,0,5,word_537
370366,Neural_Networks,AI,3,0,word_121
108983,Probabilistic_Methods,Theory,4,1,word_20
399339,Reinforcement_Learning,AI,1,3,word_112
64319,Theory,Theory,2,0,word_84
1110426,Rule_Learning,AI,0,4,word_94
1102407,Neural_Networks,AI,0,1,word_20
1127812,Neural_Networks,AI,0,4,word_20
1128542,Neural_Networks,AI,0,1,word_20
65057,Probabilistic_Methods,Theory,4,1,word_39
65074,Probabilistic_Methods,Theory,10,2,word_5
33895,Genetic_Algorithms,Systems,6,1,word_496
2440,Rule_Learning,AI,30,1,word_703
1717,Probabilistic_Methods,Theory,5,4,word_24
249421,Neural_Networks,AI,2,3,word_177
3187,Probabilistic_Methods,Theory,5,1,word_205
591016,Rule_Learning,AI,2,2,word_94
1110494,Neural_Networks,AI,0,1,word_89
29492,Neural_Networks,AI,8,0,word_40
400473,Neural_Networks,AI,1,1,word_3
644334,Probabilistic_Methods,Theory,0,3,word_103
949511,Neural_Networks,AI,0,2,word_20
205192,Neural_Networks,AI,3,2,word_20
763009,Neural_Networks,AI,3,3,word_8
169280,Neural_Networks,AI,2,0,word_133
1120643,Genetic_Algorithms,Systems,0,5,word_2
645088,Probabilistic_Methods,Theory,2,0,word_40
5348,Neural_Networks,AI,15,1,word_14
124296,Neural_Networks,AI,1,1,word_43
1121398,Genetic_Algorithms,Systems,0,1,word_141
950305,Neural_Networks,AI,0,2,word_20
567018,Neural_Networks,AI,1,2,word_20
58540,Reinforcement_Learning,AI,1,3,word_27
436796,Neural_Networks,AI,0,2,word_58
948846,Neural_Networks,AI,0,1,word_22
8213,Reinforcement_Learning,AI,0,3,word_22
671293,Probabilistic_Methods,Theory,1,2,word_20
1131550,Genetic_Algorithms,Systems,0,2,word_20
1105394,Reinforcement_Learning,AI,0,2,word_35
85452,Theory,Theory,2,2,word_187
1112686,Probabilistic_Methods,Theory,0,3,word_17
69418,Neural_Networks,AI,0,2,word_78
8224,Theory,Theory,25,1,word_26
575077,Genetic_Algorithms,Systems,8,2,word_119
20850,Theory,Theory,0,4,word_53
44017,Theory,Theory,3,1,word_68
1135125,Neural_Networks,AI,0,3,word_45
286562,Neural_Networks,AI,0,1,word_329
1123553,Reinforcement_Learning,AI,0,2,word_40
1135137,Neural_Networks,AI,0,3,word_177
325314,Neural_Networks,AI,1,0,word_136
662572,Neural_Networks,AI,1,2,word_172
159897,Probabilistic_Methods,Theory,2,4,word_20
1130856,Genetic_Algorithms,Systems,0,2,word_102
96335,Neural_Networks,AI,0,5,word_69
755082,Probabilistic_Methods,Theory,1,1,word_53
1123576,Neural_Networks,AI,0,2,word_17
1103979,Neural_Networks,AI,0,3,word_40
593260,Genetic_Algorithms,Systems,0,3,word_7
601567,Rule_Learning,AI,0,2,word_24
1119140,Neural_Networks,AI,0,3,word_46
189655,Probabilistic_Methods,Theory,3,0,word_93
31769,Neural_Networks,AI,2,4,word_20
1107567,Theory,Theory,0,5,word_508
88356,Probabilistic_Methods,Theory,0,4,word_20
1033,Genetic_Algorithms,Systems,2,3,word_10
1034,Genetic_Algorithms,Systems,1,3,word_10
1106849,Neural_Networks,AI,0,1,word_20
16470,Neural_Networks,AI,1,2,word_20
35343,Neural_Networks,AI,1,3,word_20
16471,Neural_Networks,AI,5,1,word_12
1154074,Neural_Networks,AI,0,1,word_133
16476,Neural_Networks,AI,4,0,word_7
23774,Reinforcement_Learning,AI,3,2,word_20
16485,Neural_Networks,AI,8,0,word_20
136665,Reinforcement_Learning,AI,1,1,word_42
94953,Neural_Networks,AI,0,1,word_90
9708,Case_Based,Systems,5,1,word_55
38205,Genetic_Algorithms,Systems,11,3,word_234
645897,Probabilistic_Methods,Theory,1,5,word_173
216877,Rule_Learning,AI,2,0,word_71
18619,Theory,Theory,3,3,word_3
559804,Probabilistic_Methods,Theory,2,5,word_17
6898,Neural_Networks,AI,6,3,word_163
166420,Theory,Theory,1,0,word_53
787016,Genetic_Algorithms,Systems,1,3,word_141
73146,Probabilistic_Methods,Theory,4,4,word_20
1136634,Theory,Theory,0,1,word_50
1111230,Reinforcement_Learning,AI,0,2,word_20
3218,Rule_Learning,AI,15,0,word_133
3229,Neural_Networks,AI,61,4,word_147
84020,Probabilistic_Methods,Theory,2,1,word_26
3231,Theory,Theory,32,5,word_223
52847,Theory,Theory,2,1,word_53
1110531,Case_Based,Systems,0,3,word_42
686532,Neural_Networks,AI,0,5,word_133
711598,Theory,Theory,0,1,word_27
1063773,Neural_Networks,AI,0,1,word_46
3243,Theory,Theory,12,0,word_111
78994,Neural_Networks,AI,2,2,word_9
181782,Reinforcement_Learning,AI,0,3,word_4
284414,Case_Based,Systems,1,1,word_2
114189,Probabilistic_Methods,Theory,1,2,word_128
686559,Neural_Networks,AI,0,1,word_11
253971,Neural_Networks,AI,1,1,word_20
1106103,Case_Based,Systems,0,2,word_42
1114125,Reinforcement_Learning,AI,0,2,word_94
75318,Neural_Networks,AI,3,1,word_133
45599,Genetic_Algorithms,Systems,0,2,word_19
97892,Case_Based,Systems,0,4,word_94
446271,Probabilistic_Methods,Theory,0,3,word_20
1106112,Reinforcement_Learning,AI,0,3,word_11
280876,Probabilistic_Methods,Theory,1,2,word_42
12182,Theory,Theory,20,3,word_4
175909,Case_Based,Systems,3,1,word_5
64484,Reinforcement_Learning,AI,1,1,word_39
6125,Theory,Theory,5,5,word_40
1120713,Case_Based,Systems,0,2,word_5
1114153,Neural_Networks,AI,0,2,word_57
12197,Theory,Theory,3,2,word_275
248823,Reinforcement_Learning,AI,1,1,word_39
919885,Neural_Networks,AI,0,1,word_20
94229,Neural_Networks,AI,2,1,word_20
1120731,Reinforcement_Learning,AI,0,5,word_112
23069,Probabilistic_Methods,Theory,2,3,word_52
6151,Reinforcement_Learning,AI,9,3,word_87
6155,Reinforcement_Learning,AI,1,5,word_174
23070,Probabilistic_Methods,Theory,5,5,word_39
644448,Probabilistic_Methods,Theory,4,1,word_133
1112723,Neural_Networks,AI,0,3,word_126
31097,Case_Based,Systems,0,1,word_13
6169,Reinforcement_Learning,AI,6,1,word_42
1106172,Reinforcement_Learning,AI,0,4,word_94
6170,Reinforcement_Learning,AI,0,2,word_174
211875,Neural_Networks,AI,0,2,word_53
1109017,Genetic_Algorithms,Systems,0,1,word_127
5454,Neural_Networks,AI,3,0,word_20
6184,Reinforcement_Learning,AI,8,4,word_2
10796,Case_Based,Systems,14,3,word_9
10798,Case_Based,Systems,11,0,word_82
1120777,Neural_Networks,AI,0,4,word_219
86258,Theory,Theory,1,0,word_42
154134,Case_Based,Systems,0,4,word_26
6196,Reinforcement_Learning,AI,6,3,word_14
20920,Probabilistic_Methods,Theory,0,3,word_53
20923,Probabilistic_Methods,Theory,5,0,word_5
22386,Case_Based,Systems,8,0,word_5
1131639,Neural_Networks,AI,0,2,word_293
77515,Theory,Theory,1,3,word_53
93555,Neural_Networks,AI,5,1,word_20
17201,Reinforcement_Learning,AI,7,0,word_3
644494,Probabilistic_Methods,Theory,2,2,word_34
17208,Reinforcement_Learning,AI,5,4,word_59
1125082,Genetic_Algorithms,Systems,0,1,word_20
1131647,Neural_Networks,AI,0,2,word_89
74698,Probabilistic_Methods,Theory,2,3,word_5
13652,Neural_Networks,AI,3,1,word_3
20942,Theory,Theory,0,2,word_28
390894,Probabilistic_Methods,Theory,0,3,word_53
390896,Probabilistic_Methods,Theory,0,3,word_62
1125092,Reinforcement_Learning,AI,0,4,word_3
13656,Neural_Networks,AI,1,3,word_20
1116347,Reinforcement_Learning,AI,0,5,word_3
13658,Neural_Networks,AI,7,0,word_20
120013,Neural_Networks,AI,0,2,word_36
1117089,Reinforcement_Learning,AI,0,1,word_39
57948,Theory,Theory,3,5,word_227
334153,Theory,Theory,1,3,word_115
160732,Rule_Learning,AI,2,0,word_127
1154103,Probabilistic_Methods,Theory,0,4,word_525
12946,Probabilistic_Methods,Theory,0,2,word_20
1104787,Neural_Networks,AI,0,2,word_20
17242,Probabilistic_Methods,Theory,2,1,word_275
321861,Theory,Theory,1,2,word_62
189721,Probabilistic_Methods,Theory,1,1,word_20
12960,Theory,Theory,0,4,word_94
95718,Theory,Theory,1,4,word_62
6910,Neural_Networks,AI,9,5,word_172
180373,Neural_Networks,AI,1,4,word_245
6917,Rule_Learning,AI,2,5,word_113
358884,Theory,Theory,1,1,word_475
887,Genetic_Algorithms,Systems,27,3,word_764
180399,Neural_Networks,AI,2,2,word_49
358894,Theory,Theory,0,5,word_64
1154169,Neural_Networks,AI,0,2,word_226
120084,Neural_Networks,AI,1,4,word_40
1154176,Genetic_Algorithms,Systems,0,2,word_764
424540,Neural_Networks,AI,1,2,word_297
1118546,Probabilistic_Methods,Theory,0,1,word_694
643003,Probabilistic_Methods,Theory,1,1,word_65
112099,Case_Based,Systems,1,0,word_5
1104007,Theory,Theory,0,4,word_3
1120049,Neural_Networks,AI,0,4,word_20
175256,Genetic_Algorithms,Systems,3,0,word_100
45605,Genetic_Algorithms,Systems,9,3,word_20
15889,Case_Based,Systems,7,1,word_5
35490,Case_Based,Systems,4,1,word_40
221302,Case_Based,Systems,1,3,word_5
562123,Neural_Networks,AI,1,3,word_87
1104031,Case_Based,Systems,0,1,word_5
1129442,Neural_Networks,AI,0,4,word_133
1129443,Neural_Networks,AI,0,1,word_263
1137466,Genetic_Algorithms,Systems,0,1,word_496
328370,Neural_Networks,AI,0,2,word_122
1103315,Reinforcement_Learning,AI,0,5,word_29
12210,Theory,Theory,7,3,word_48
1104055,Theory,Theory,0,4,word_293
64519,Reinforcement_Learning,AI,3,1,word_99
114,Reinforcement_Learning,AI,42,0,word_8
1109873,Neural_Networks,AI,0,2,word_20
128,Reinforcement_Learning,AI,4,4,word_2
12238,Theory,Theory,4,0,word_113
1112099,Theory,Theory,0,4,word_28
18774,Probabilistic_Methods,Theory,1,2,word_20
18777,Probabilistic_Methods,Theory,13,0,word_20
130,Reinforcement_Learning,AI,3,4,word_94
23116,Theory,Theory,5,4,word_912
948299,Neural_Networks,AI,0,3,word_20
6209,Reinforcement_Learning,AI,11,0,word_39
197054,Reinforcement_Learning,AI,1,5,word_174
6210,Reinforcement_Learning,AI,1,4,word_79
6213,Reinforcement_Learning,AI,76,3,word_53
6214,Reinforcement_Learning,AI,28,4,word_4
6216,Reinforcement_Learning,AI,6,0,word_11
6217,Reinforcement_Learning,AI,0,2,word_22
2653,Theory,Theory,18,0,word_46
2658,Neural_Networks,AI,17,3,word_24
753047,Theory,Theory,6,3,word_319
188318,Neural_Networks,AI,1,3,word_20
74700,Probabilistic_Methods,Theory,2,1,word_4
67415,Theory,Theory,7,3,word_4
6220,Reinforcement_Learning,AI,3,5,word_20
2665,Neural_Networks,AI,28,3,word_20
28957,Probabilistic_Methods,Theory,9,0,word_20
143323,Case_Based,Systems,5,0,word_26
340075,Neural_Networks,AI,0,3,word_133
1949,Case_Based,Systems,2,4,word_5
1953,Case_Based,Systems,4,0,word_5
1955,Case_Based,Systems,4,0,word_94
1959,Case_Based,Systems,10,0,word_3
390922,Probabilistic_Methods,Theory,0,3,word_20
22431,Rule_Learning,AI,6,2,word_229
1113541,Neural_Networks,AI,0,1,word_20
1132418,Neural_Networks,AI,0,4,word_394
628500,Reinforcement_Learning,AI,2,4,word_2
4804,Theory,Theory,14,4,word_40
33301,Case_Based,Systems,2,0,word_131
33303,Case_Based,Systems,0,4,word_26
267824,Neural_Networks,AI,2,0,word_20
1138970,Theory,Theory,0,1,word_5
13717,Rule_Learning,AI,3,2,word_19
1120866,Neural_Networks,AI,0,1,word_76
1106287,Neural_Networks,AI,0,4,word_72
755217,Reinforcement_Learning,AI,0,5,word_150
647408,Genetic_Algorithms,Systems,0,3,word_119
1116410,Case_Based,Systems,0,4,word_65
1132459,Neural_Networks,AI,0,2,word_53
1105574,Neural_Networks,AI,0,3,word_20
1133196,Genetic_Algorithms,Systems,0,2,word_9
307336,Neural_Networks,AI,2,2,word_100
906,Neural_Networks,AI,7,0,word_20
1131745,Neural_Networks,AI,0,2,word_4
1131748,Neural_Networks,AI,0,2,word_20
910,Neural_Networks,AI,41,5,word_20
943,Case_Based,Systems,3,2,word_5
31927,Neural_Networks,AI,4,3,word_168
101261,Theory,Theory,1,0,word_88
101263,Theory,Theory,3,2,word_42
31932,Neural_Networks,AI,1,4,word_28
1135358,Theory,Theory,0,2,word_99
1154230,Probabilistic_Methods,Theory,0,1,word_809
1135368,Neural_Networks,AI,0,1,word_20
28227,Reinforcement_Learning,AI,2,3,word_293
32688,Neural_Networks,AI,2,1,word_20
189856,Probabilistic_Methods,Theory,4,2,word_20
27510,Theory,Theory,4,2,word_134
27514,Neural_Networks,AI,1,1,word_3
1154276,Neural_Networks,AI,0,2,word_20
27530,Neural_Networks,AI,5,0,word_20
1152821,Neural_Networks,AI,0,1,word_20
28265,Case_Based,Systems,2,2,word_3
103430,Neural_Networks,AI,2,1,word_11
27543,Neural_Networks,AI,3,0,word_20
39126,Probabilistic_Methods,Theory,2,5,word_40
28278,Reinforcement_Learning,AI,1,5,word_582
39131,Case_Based,Systems,4,3,word_152
10169,Theory,Theory,19,3,word_90
28287,Reinforcement_Learning,AI,8,5,word_39
1129518,Probabilistic_Methods,Theory,0,2,word_20
1272,Theory,Theory,32,2,word_71
194223,Probabilistic_Methods,Theory,2,1,word_20
